slideId,dim1,dim2,group,split
217797,-12.550849,-4.8435817,0,test
218196,-19.742805,-1.3144813,0,train
219047,-26.551785,-2.838609,0,train
219350,12.176523,-6.935296,IIB/C,train
220100,14.570657,-2.4457433,IB,train
220126,27.670488,1.7728927,IIB/C,train
222180,23.069815,-1.9878213,IIB/C,train
222814,-25.263968,-3.174943,0,train
223426,-4.45691,0.74955696,0,train
224451,-17.329815,4.548004,IB,train
226010,25.585337,3.910683,IIB/C,test
227001,-15.962876,-4.7891245,IA,train
227088,23.01312,1.4898448,IB,train
227913,-11.981282,-2.4252303,0,train
227935,-18.60974,-3.4679651,IA,train
231618,13.930096,3.245386,IA,train
232419-1,-14.727409,3.6750872,0,train
232419-2,-11.623705,3.4113727,IA,train
232516,7.657016,-1.2156799,0,train
232645,4.7837353,6.2909555,III,train
233464-2,-17.034527,-2.2022908,0,test
233551,-4.5012913,-5.2720394,IA,train
234142,-15.480362,0.7980131,IIA,train
235405,15.205592,-3.2920384,III,train
237476,25.886087,1.9746416,IIB/C,train
242002,3.5615518,-1.7815474,IA,train
244082,-26.003489,-2.0685728,IA,train
244277,17.563324,-1.9901003,IA,test
244557,11.161781,0.5226288,IB,train
247307,-24.919878,-2.765641,IA,train
247394,-24.548235,-1.8241636,IA,train
247614,24.223185,4.185365,III,test
249478,16.106384,-1.6516707,IIB/C,test
250432,15.778401,-2.5137358,IB,train
250459,15.780442,-0.53391755,IB,train
250982,23.736954,2.559919,IIA,train
251369,1.5219332,-3.277168,0,train
252900,19.711748,-2.3968525,IIA,train
255604,19.51362,3.2499223,IB,train
257169,8.958366,7.3762226,IIA,train
258652,24.689772,1.0162153,IIB/C,train
259985,-5.9742384,-1.5920541,IA,train
261235,-17.976254,-5.3203835,IA,train
271360,-10.072384,-3.22332,0,train
273694,17.719574,-1.0755993,IA,train
275916,25.521412,4.910379,IIA,test
276146,-20.452316,-5.431111,IA,train
277647,16.910915,4.5298843,IB,train
283907,16.090422,-3.132516,IIB/C,train
287773,-24.382814,-4.3366303,0,train
287913,-1.6355785,-1.0790637,IA,train
288003,-22.647242,-3.219954,IA,train
289639,21.379297,-1.5236651,IB,train
289991,-15.163899,-3.4490848,0,train
292050,-9.688156,-2.4705462,0,train
